member_sha256,occurrence_count,member_bytes,disposition,catalog_item_ids
032b31755969fd7a0316b6bd7ff8f1be664fcfdd22f7b91fbe7ebd348a3d8f2d,2,1158,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
032d8c37e8d882a812be5a4b088d3a1a34e8cb337c4ef463aba07d3fffbff5ec,2,2063,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03328405f35e2d243911a0731535ce1a1320f663501797ab52d64c6aafdff27e,2,727,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
033fc067f5c7a5ddc8236188909c910236cf564005d80b8ccdb3b485b033a807,14,635,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0343d47809118e210cf77a0cbdf1749e64135e4015f275be9e32e4031afa1057,2,746,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03531a0a074edb52878d5b218dcdf9155b9d7b05fdaef77868a7c4be7fd17826,2,373,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
035843a7c17a3c4a8804e1ed09a372f23530b3596857546049aaecf64f47d28e,2,935,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
035b5949125df43beb319a791df22c5e88c09dcef4a2fcf2287d053c4219529c,4,28,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0364f8265ab57916fb79eac04b661f66bf9ca228ab3bf08bf714445b52b9d913,2,6957,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03661aafe5ba1b4b9fbaf2dc08c24c88df3840f384917431fb6afee66440fe02,2,2701,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
036dd6da0c27b548fb78e9b15e8b8ad4a472f469af3da8193a5e4bd136fe6be5,6,1603,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
037ca6517428a18f2b5397815cd8cfa3faac32e659a69b70260089a6836e5bc9,14,6818,REPRESENTED_BY_V11_CATALOG_HASH,AR8R-REP-PREREG
0383bf720d33390f5e4e5fc83a9dadbe49974133e19e2672ce2654e40e365a11,2,4012,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03a44fb7e5531e46b85627e9ed3f7e498a75f2b9eb1f095349f5cbdeb080bc06,2,6182,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03a6566f3e7364b8fa97bdcd66afb6a24985d5ca76d0f48091cdc8fc238fd8d7,15,184671,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03a9776da34e6783bb6e4810ed3af23648ff7c5d15f6d53203ba74d101e43320,15,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03b6de991bffc34ad3e9957cc485dbabe7da46dd4c71f53f6a3cc7b13d5dd535,2,2390,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03b85bb3338c971a23b9d0ff7b67346d469e8d8aa50972011509bdf7bcd3a580,2,630,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03bf651c43fb74c7720131da08ce16b41c01b05450a60a7c55e7c57505e07413,14,713,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03c182962caa0bb13f68a9a3255f4908d589ffbd7bbcb1c55dd3be5b58efb5db,2,307209,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03c767bd7d5bbf13756b210eccd90ee9b17000abd55fdd1d91b5aa0e4f52e323,4,329,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03cacdf169713767e6d1b68d70f5df76f01bb71bf405a74a1f801aa3e980c2a2,4,393,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03d375fc342df560ebc6a8cdf78192dfd8bad20e27d6738dc16290e234201a24,2,578,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03d519fb9426b4c08826d45eddbc0b8d534972744455d6c708a35b9f1c2d1018,28,15983,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03da02a09b1e727a4ce7dacddd9f61bff593e33fcf372c9da1c84fa95900c112,2,1463,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
