member_sha256,occurrence_count,member_bytes,disposition
25eb890e13b9fc2b1438cc1e356c03fc7a9ac643e1dfe6e4738c4bd58e35f48e,1,432,EXACT_PUBLIC_BYTES_PRESENT
263a2f54118bf4a271ff5118c09140cc7e99abd7643027e07085676edea9dac5,1,2548,EXACT_PUBLIC_BYTES_PRESENT
270926b76646130bc716bd2eda6cfc7b47963e131e9f9ac3657112296b1f3bd9,1,883,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
27f5dd3e3b997a21fb6b864376e5caed29ee404a49bbe3a75b49f5efde74548b,3,1190,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
27f9f013860e2ca9c356c7a621ff8f613bb084c5428714bdfb16dbcd554fc75e,1,2013,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
292f94cd8d248c674845449d1fadccb004a1b8bae837a2353754f1fb5515aca6,6,4613,EXACT_PUBLIC_BYTES_PRESENT
29820d0e805b9cb9642e36d36a7d2fb523cf14f26f3e0de8b175a48d56f8548a,1,847,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
2a74a9562bd38834fe8a31c14ceca4b0520a5c4f55cda4bf41d83c1efae57623,6,3278,EXACT_PUBLIC_BYTES_PRESENT
2add264f637cc6496284f67a0ed2cf4ef9de9c8669fbd05a023e82481c6115e4,1,420,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
2add2a30f7e71ffd7f27462f6faaad1dad5f031127adb85e8397748c0c6875c8,1,11800,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
2b0215c41c43d2948acc11b9abbf0cd874648e812ec7ebc586a31ad3853cd545,1,4692,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
2c62f902709a00ef3b832ae20f07ba44df9f0ec9d7b287a7290e893c56444bb3,6,2282,EXACT_PUBLIC_BYTES_PRESENT
2ce90710d38666b5d6e3b9b1619a2c3c0ba747f4add03a3ec7eff59e236ec9cf,1,2698,EXACT_PUBLIC_BYTES_PRESENT
2d8c9f7f77d03ea07f12385712dfa1b068a111e84bdf050180681ba055e76589,2,5062,EXACT_PUBLIC_BYTES_PRESENT
2e34ec7b5e8ad8421b6b5f71dda9b4a5d38601f666dc59f002f2786fd03f9aa1,1,536,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
2eaf83c252d71eef68a100575b9b89391bb83453a2bbaad1c889c7b3a6a0ba56,4,1690,EXACT_PUBLIC_BYTES_PRESENT
2eb9da316de15d1bb5a4b84e8011da89706dbd7f32314c74c71303aa647cc4d3,1,12940,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
2ed21e6de610f86beef166a99b8a25897cdbff1144c34aab72d9da4997f6ff93,3,4666,EXACT_PUBLIC_BYTES_PRESENT
2eef3bb3e8f012d503a04030391453dc249a7c5c226e69e32d2e6328ed2ed963,7,4098,EXACT_PUBLIC_BYTES_PRESENT
2f2fc5df12efb1603b020e48d7d34ccee654e2ed58445e24e9c34deb7b86ef2c,3,596,EXACT_PUBLIC_BYTES_PRESENT
2fe478676abc7bec08d18773070165edbde473a776dc47e947742e16a59d0b88,3,355,EXACT_PUBLIC_BYTES_PRESENT
311818ec2a81897c0f5e76e1fd8a73e7e95b8f5f9bf1b337746996c18e17211a,2,1409,EXACT_PUBLIC_BYTES_PRESENT
31b0c5bf891b9f68e482e895e00ee8b10a05d6bcdbea32477f9897fb2d9ba196,1,581,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
31fa5b249ede9a5cd7ee180c175f432fdd29c2d94d43321de95a0ecc40b08d9e,1,39767,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
32c71b0784e9cb5be749ead902c6a92fc73855c17daf7940530f472adede49e3,1,25580,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3501fe1f950e86e85bac33dcac6e2b0f7771d2b4b5103c2d114f43453cf36b80,1,2039,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3558c6e2693bbed1e3a7f9ce531071e8a3485ad9086c46a2be6e318def89ee8a,1,565,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
355a78bd5bb01733655950e153329c82ac28b04af53fe0bb8ac6c5a557b1dc6a,7,426,EXACT_PUBLIC_BYTES_PRESENT
363c8d7cacefe969f40a451a85d153cd94fb68cddbf29bd2b60783cf8d762b3c,1,610,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3653dbf6189c332ea34dfe8b83cf2ffec508e6b38f0693803af1bd462a06a278,3,9839,EXACT_PUBLIC_BYTES_PRESENT
37f9bf1535f9a95811b8b5cff6271e9b4e2afce6ea8dddb315ddaaf147c23034,1,3301,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
385e8dbf103f606d64b11f1c852ab49639a917c99131c331abdfb08b09ce07e8,4,904,EXACT_PUBLIC_BYTES_PRESENT
3951ae92ee93c1a511c14226c4507571b70cb2f43a02583bacae1d0bc1ad9de0,1,1371,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
39937ceb1f815b6cfd9637270f033daa024d3dd97154205444c2b77c9ba194f5,1,2045,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
399552e340f3a63292a383c4597207d92ebb2064d8d631195c10fd4ae8080aa4,1,3057,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
39b6c81d02a8f795e537544ecbd52e85b5e816427617bebd166c2e1520b3b05e,3,1018,EXACT_PUBLIC_BYTES_PRESENT
39dcd5458d2f31ae47176487fc7b59de1a04848c0802bf84ec54d392bed12f2e,1,88165,EXACT_PUBLIC_BYTES_PRESENT
3a71ffa0146f447fcd7539ebf0a167a46228bd227799cfd4eefd62a8851b6b40,2,3422,EXACT_PUBLIC_BYTES_PRESENT
3ad905f597ab6c5abb95cf8c9df3b4e4fb6c0f8753400854d24097c8d54fc81e,1,5454,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3b4bd9956eea02737440d8789ff3ac1b989488fb0f4a2ad46eb17f5e9fa82a8a,1,5591,EXACT_PUBLIC_BYTES_PRESENT
3c368085341b2c5edacab95a41217561c71e6b408a94b782385a073eb97752c5,3,1390,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3ce8cfc08d7c511e08e09813856d1b8551dfdc317e8e5a9e93348d6a34697dee,7,377,EXACT_PUBLIC_BYTES_PRESENT
3d0a114ea240c52ebcccd09e173720109d87fab02185824f4663366b5e2c534c,1,622,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3d88b293140819f469c30850c35f08e2202fe651f9132851f10c980197a827ab,1,555,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3da6fcc27dfc24d31ceb76ff3768aafb12e6eaa42b9600e154ee97740a4d9bd1,1,8538,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3e2c5c67bf6d81ff9df2239a1e78629e2b820ff4aaa50ddb4986063ba6c5b96a,6,3094,EXACT_PUBLIC_BYTES_PRESENT
3e4a4fbc1354e3dbc58ca2d9f807d3d4ce7b335a946ea36b6191acbafb2bc36d,2,1424,EXACT_PUBLIC_BYTES_PRESENT
3e825ba0bf92d170a0a6ada152d00ae7121eafbeb6d6ee059bf0d0c9da664405,1,818,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
3f31e22a0b469185aa0643041035676fdc5e8cb634f504a84defd6fc956ac3a0,1,1411,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
4019ad68d95c116780f3a8d7f4b167adbd1b29565ff9ca93f62c36a59a784ff9,1,4663,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
40a55ce87189edc68c8047497507f99c66436076c2742a5f814ad89303dd3823,1,433,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
