row_id,surface,kind,sha256,bytes,source_status,disposition
63,FILE_CARD,DOWNLOAD,5feced3b9a94a03b7a8eee6183bcf6baec03b55802d8d86540a0b20052a10aca,8787,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
64,FILE_CARD,DOWNLOAD,d6faf89fee286bcc2fd52e7727e9dca40d07bab30d1ba5e4681406e411b1aa8c,1831,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
65,FILE_CARD,DOWNLOAD,09b69eeb3f38713b239d7445e632d9d2215f2d1a3ed86bf3c6f48b45226a7162,1968,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
66,FILE_CARD,DOWNLOAD,51129272d13e498d3cfd3bfb9c960dac0ac228fdf4b218e01c188b3bb581eae2,1414,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
67,FILE_CARD,DOWNLOAD,59b9e2b444cf6dfe8acde83dc5d412e47b071a63226131df8d914d929f44ced5,919,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
68,FILE_CARD,DOWNLOAD,a881d3020091dcb18c7e9d4ff8a285cbe920fbe189f6c1ae57a9d83408bc4bf1,834,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
69,FILE_CARD,DOWNLOAD,69fac21900078887406d78594d9b093d1166ba357e413bf0f12d6a156fc5da77,3988,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
70,FILE_CARD,DOWNLOAD,f251211f86634876f9d9b07c544557885881d6260ee4586aaf0c55238973f777,1461,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
71,FILE_CARD,DOWNLOAD,69d9312807713b555e3473089b8d79ae9b0fea88ec0b373c2e352812d831ad66,2435,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
72,FILE_CARD,DOWNLOAD,abae17ed6e22ef0e16c480cf9165b3798ab16c03ffebb4e81872e15a9f4e3bde,7473,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
73,FILE_CARD,DOWNLOAD,25d8cff74cc11fbbad992fe212f364ac4941d3245a52c890030103cc627f1812,2166,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
74,FILE_CARD,DOWNLOAD,a8659d4265db0463916a9e364d976adcf9a3c40f77235cf7266ef1d82ec3e60d,2723,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
75,FILE_CARD,DOWNLOAD,7a00fba06e2b73062fbd11f3cd1b816ea676361bf64bb001a0f8d72267f7a686,1466,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
76,FILE_CARD,DOWNLOAD,d2a4d6a7a20cf32546da0b683266e7c3497aaecaa320f301b934018c3fd907a7,5276,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
77,FILE_CARD,DOWNLOAD,fb22d822c53259cac6045df41ede3addcfd6089e5196dae885394ece49e0d7d7,4603,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
78,FILE_CARD,DOWNLOAD,4974a29bf6f530601c2513c56bd0a057c3ecb408f1df129c0ded1a6b568617db,1823,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
79,FILE_CARD,DOWNLOAD,f5ffa1387012cc95d28e185262d18d4160b652b22e5e518d31488a418deb6d71,5339,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
80,FILE_CARD,DOWNLOAD,24454daa2d6665452b433a7407be1af81fdb8587eaa4463a567b708d8947a672,3963,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
81,FILE_CARD,DOWNLOAD,add8cdf4f4b4e26213d7773800a346c8646704b225e7da39984c1b8ba6b00460,1395,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
82,FILE_CARD,DOWNLOAD,e86e5bc13327ccbb39bddac26e1d356a5d1e00b1dcf9242438e37860d3ea6517,3032,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
83,FILE_CARD,DOWNLOAD,3b4bd9956eea02737440d8789ff3ac1b989488fb0f4a2ad46eb17f5e9fa82a8a,5591,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
84,FILE_CARD,DOWNLOAD,de2867d65b9a098be89edabf0cd37068232f7759ee670ddbaa0772d42425a606,1444,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
85,FILE_CARD,DOWNLOAD,f56f5f047745b64c96827ab3e1c1fabd0519721693d8cb2e0dc5a5408f769f07,65908,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
86,FILE_CARD,DOWNLOAD,39dcd5458d2f31ae47176487fc7b59de1a04848c0802bf84ec54d392bed12f2e,88165,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
87,FILE_CARD,DOWNLOAD,4d06f220788120a529124f93f04ea80145f1a5d8a939ddc6f6566b3416f66556,22721,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
88,FILE_CARD,DOWNLOAD,452376b65677bf5306ecdaa6f7dc7209c0c25e219d90203cd645929db0f69e16,3149,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
89,FILE_CARD,DOWNLOAD,079c5e29230ea392bd2030367619871727c14e9f8759ad9af221e9b0edcdf48b,2653,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
90,FILE_CARD,DOWNLOAD,eebbb7f5c3d1bab919b9315ee77088ad76553a9d32e38a9f7b84b646c2a5d0db,8062,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
91,FILE_CARD,DOWNLOAD,df0b795317a4b3152549a3b6f62be391b7d846199069b2f3ff30f1549de869ea,372,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
92,FILE_CARD,DOWNLOAD,77611220b530c34e38a79791b74b918bba4caa2b02eb330848099f38dae95729,3109,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
93,FILE_CARD,DOWNLOAD,96410f402f48498b9f6129e0bfa1832e8dbe79f2db8c6f96426313547331fb11,5201,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
94,FILE_CARD,DOWNLOAD,a245d020efc4762aa8023fc98a43f3acbf5a16bd2aab4cd5c3012e024fd8df2f,6376,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
95,FILE_CARD,DOWNLOAD,b64e35a8d4d1aadce4173a3f481c3e4c2d50fe8cacb9d2c66334284e00bd3e25,5019,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
96,FILE_CARD,DOWNLOAD,9e520b987e9f45edeb67c9934156f43cac26436d2529e54cda45bed674f5aea2,516,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
97,FILE_CARD,DOWNLOAD,ebaefbfd30245d40a050ac3fbe226988cf3d8a2bcc9a95830d17a6fcb8ac2bdd,3273,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
98,FILE_CARD,DOWNLOAD,54259d8eba0d11385674935a817983a5a78ce355c069efd1231c9b2073bb79c7,8972,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
99,FILE_CARD,DOWNLOAD,263a2f54118bf4a271ff5118c09140cc7e99abd7643027e07085676edea9dac5,2548,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
100,FILE_CARD,DOWNLOAD,5658f895e86014dbb339c82f9f2e2219fd596b9fa665cf36f50cdb7bc7d8e89b,1372,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
101,FILE_CARD,DOWNLOAD,f02b29497fef5ce401b02c6e09478417d79fbb93584fbc372ab116c58c67649e,5838,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
102,FILE_CARD,DOWNLOAD,923ca47ef7822ccd0cefcc8a34abfa4f1fe276444d0d07e85a6783aba9138f02,9042,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
103,FILE_CARD,DOWNLOAD,9cbed9f0ddff9c97f45ae7155e6025e08edf28da3e9284534e63f547d12dc683,3759,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
104,FILE_CARD,DOWNLOAD,d26f88f20dec6ab915efc9af91c56b49bfe271858c3e774a9fb6642732552cf5,2590,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
105,FILE_CARD,DOWNLOAD,fd7d9c97bb1e2b3ba0575d39b2e9f2378bfc28482b372937b756098d8beb096f,2365,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
106,FILE_CARD,DOWNLOAD,641271bb4d43349fb7d6c0253da7de1b970606e81fd307118e9a9f1f99314272,11104,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
107,FILE_CARD,DOWNLOAD,c3fa9d03a94b948a8f47a16c5327646bd5fa1e69f05f97ddf6d517e375ee11a6,4227,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
108,FILE_CARD,DOWNLOAD,fa09d3a5c4ecb1d0fa49e24ba7cf561e6f17eb22d51506bc9d7f0f42cf14b841,2265,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
109,FILE_CARD,DOWNLOAD,04dc46909a4e2e080ea6a710138aa0a9442ecfbb6ee5b23b9282d7d75f2cd797,464,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
110,FILE_CARD,DOWNLOAD,f0278114a26708aca412533c63f0a62d5c388210bcc80defb046c1c8e0330c2c,10628,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
111,FILE_CARD,DOWNLOAD,2eef3bb3e8f012d503a04030391453dc249a7c5c226e69e32d2e6328ed2ed963,4098,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
112,FILE_CARD,DOWNLOAD,00cb92b437dc7df664a83bc461c98f03a40dbbe5842da0cf64f6e5282d46c137,2168,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
113,FILE_CARD,DOWNLOAD,355a78bd5bb01733655950e153329c82ac28b04af53fe0bb8ac6c5a557b1dc6a,426,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
114,FILE_CARD,DOWNLOAD,f35d4a39aecf6f66b3d0380065b95dd92990a02ca91f8a32329b6e64b95aee4b,10518,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
115,FILE_CARD,DOWNLOAD,809cd15c9eade18e87c07da8a9b012a46095ffc6ad1b8dc8cbc4a7dabaf66944,3728,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
116,FILE_CARD,DOWNLOAD,7084bea7feeba343e9fde678775bd0ad02a637cc6bc8ee7eac75b89b964d8416,2644,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
117,FILE_CARD,DOWNLOAD,676d26b96ace66c76d9243f79f1757063d5ddb2d2b7afedf48b84a70a3235ae3,1259,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
118,FILE_CARD,DOWNLOAD,09630cac3934fc96d97bcaf7b36ae6fb9431df239a98ada95cfc327e48d4cb24,857,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
119,FILE_CARD,DOWNLOAD,473eccbcc0f8f0f8183e19cc6184552515fc6bbdfa06bf4c0b0cf89a941da6df,424,DOWNLOADED_AND_HASHED,PRIVATE_CUSTODY_OR_VERIFICATION_RECEIPT_NO_PUBLIC_IMPORT
120,FILE_CARD,DOWNLOAD,e3db880891dc6baf7ba48f166951ecd4ef3b66ca5afe57e5a77a00c31919505b,15531,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
121,FILE_CARD,DOWNLOAD,bd5c08bf7fc65890cac4b06c724a66b2dfaf9f8572e1daf3a40b4bae5291c1a7,5953,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
122,FILE_CARD,DOWNLOAD,c873f52c57b5081ee7f226cdd4aef83acf509f73bfe73d1ef4e5314b4c6fa015,3344,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
123,FILE_CARD,DOWNLOAD,9789cf7cc81cd6d5a9d3bf12c8958034743017321bd9db2dfa78993794715905,2218,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
124,FILE_CARD,DOWNLOAD,879681edd0f28a35ba9bd87f049ad60c10ea5369474fb8bf2d092de88251299c,14916,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
125,FILE_CARD,DOWNLOAD,2c62f902709a00ef3b832ae20f07ba44df9f0ec9d7b287a7290e893c56444bb3,2282,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
126,FILE_CARD,DOWNLOAD,292f94cd8d248c674845449d1fadccb004a1b8bae837a2353754f1fb5515aca6,4613,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
127,FILE_CARD,DOWNLOAD,599e9dd9595e26ae857a9a1e7c8a07306a2ec13f25c0c5a0500da544bc45f3ba,10299,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
128,FILE_CARD,DOWNLOAD,7e3b6c2de058a44f36001bb0c485dc2541eb4c332184d7fe01706a758f9f677e,1404,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
129,FILE_CARD,DOWNLOAD,2a74a9562bd38834fe8a31c14ceca4b0520a5c4f55cda4bf41d83c1efae57623,3278,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
130,FILE_CARD,DOWNLOAD,e346804b7e943f74d4d706eb5839a1b5e3375bef5ce08e79b4859f7e19376a5a,17599,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
131,FILE_CARD,DOWNLOAD,95d2ac63d14d75c790477b0311459fbdcee4338045287db27282d34a8d75a37c,3803,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
132,FILE_CARD,DOWNLOAD,84c16f107493559d72499df6492a9aeb9f63956f9bffac16b649de1c27face61,748,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
